2025-07-24 15:34:23.857 INFO  [main:31] Creating /opt/appl/data/apps/apps_data/can-logger/resources/settings.json with default settings
2025-07-24 17:05:21.852 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:06:21.853 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:07:21.853 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:08:21.854 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:09:21.854 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:10:21.855 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:11:21.855 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:12:21.856 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:13:21.856 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:14:21.857 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:15:21.857 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:16:21.857 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:17:21.858 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:18:21.859 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:19:21.859 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:20:21.860 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:21:21.860 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:22:21.861 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:23:21.861 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:24:21.862 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:25:21.862 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:26:21.862 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:27:21.863 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:28:21.863 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:29:21.864 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:30:21.864 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:31:21.865 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:32:21.865 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:33:21.866 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:34:21.866 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:35:21.867 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:36:21.868 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:37:21.868 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:38:21.869 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:39:21.869 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:40:21.870 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:41:21.870 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:42:21.870 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:43:21.871 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:44:21.871 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:45:21.872 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:46:21.872 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:47:21.873 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:48:21.873 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:49:21.874 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:50:21.875 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:51:21.875 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:52:21.875 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:53:21.876 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:54:21.876 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:55:21.877 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:56:21.878 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:57:21.879 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:58:21.879 INFO  [main:65] wakeup, mExit: 0
2025-07-24 17:59:21.879 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:00:21.880 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:01:21.880 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:02:21.881 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:03:21.881 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:04:21.882 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:05:21.882 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:06:21.882 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:07:21.883 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:08:21.883 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:09:21.884 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:10:21.884 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:11:21.885 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:12:21.885 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:13:21.885 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:14:21.886 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:15:21.886 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:16:21.888 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:17:21.888 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:18:21.889 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:19:21.889 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:20:21.890 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:21:21.890 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:22:21.891 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:23:21.891 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:24:21.891 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:25:21.892 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:26:21.892 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:27:21.893 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:28:21.893 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:29:21.894 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:30:21.897 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:31:21.897 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:32:21.900 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:33:21.900 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:34:21.901 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:35:21.905 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:36:21.905 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:37:21.908 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:38:21.908 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:39:21.909 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:40:21.909 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:41:21.910 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:42:21.910 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:43:21.910 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:44:21.911 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:45:21.911 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:46:21.912 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:47:21.912 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:48:21.913 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:49:21.913 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:50:21.913 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:51:21.914 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:52:21.914 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:53:21.915 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:54:21.915 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:55:21.916 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:56:21.916 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:57:21.917 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:58:21.917 INFO  [main:65] wakeup, mExit: 0
2025-07-24 18:59:21.918 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:00:21.918 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:01:21.919 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:02:21.919 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:03:21.919 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:04:21.920 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:05:21.920 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:06:21.921 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:07:21.921 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:08:21.922 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:09:21.922 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:10:21.923 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:11:21.926 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:12:21.926 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:13:21.927 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:14:21.928 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:15:21.928 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:16:21.929 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:17:21.929 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:18:21.930 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:19:21.930 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:20:21.931 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:21:21.931 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:22:21.931 INFO  [main:65] wakeup, mExit: 0
2025-07-24 19:23:21.932 INFO  [main:65] wakeup, mExit: 0
